section,block,order,field_id,question_es,question_en,type,options,status,skip_logic,goal,redesign_section,notes
Demographics,Demographics,1,age,¿Cuántos años tienes?,How old are you?,Numeric,,Retained,,,
Demographics,Demographics,2,gender,¿Con qué género te identificas?,What gender do you identify with?,Single,"hombre / mujer / nb / prefiero no contestar",Retained,,,
Demographics,Demographics,3,country,¿En qué país resides actualmente?,In which country do you currently reside?,Single,"México / Colombia / Argentina / Brasil / Estados Unidos / Otro (especificar)",Retained,,Goal 2,Sec 2.8,Expanded for LatAm
Demographics,Demographics,4,city,¿En qué ciudad resides?,In which city do you reside?,Single,"CDMX / Guadalajara / Monterrey / Hermosillo / Querétaro / Mérida / Aguascalientes / León / SLP / Puebla / Bogotá / Medellín / Buenos Aires / São Paulo / Otra (especificar)",Retained,,Goal 2,Sec 2.8,Expanded for LatAm
Demographics,Demographics,5,education,¿Cuál es tu nivel máximo de estudios completado?,What is your highest completed education level?,Single,"Secundaria o equivalente / Preparatoria-Bachillerato o equivalente / Técnico superior / Licenciatura (en curso) / Licenciatura (titulado) / Maestría / Doctorado",Modified,,Goal 2,Sec 1.5.7,"Localized for LatAm; replaces pasante/posgrado"
Demographics,Demographics,6,edutype,¿Cómo aprendiste a programar?,How did you learn to program?,Single,"escuela / autodidacta / online / trabajo / bootcamp",Retained,,,
Professional Profile,Professional Profile,7,experience_tech,¿Cuántos años llevas trabajando profesionalmente en el sector de tecnología?,How many years of professional experience in the tech sector?,Numeric,,Redesigned,,Goal 2,Sec 1.5.2,"Replaces experience; explicit tech-sector scope"
Professional Profile,Professional Profile,8,experience_total,¿Cuántos años de experiencia laboral total tienes (en cualquier sector)?,How many total years of work experience (any sector)?,Numeric,,New,,Goal 2,Sec 1.5.2,"Delta with experience_tech identifies career switchers"
Professional Profile,Professional Profile,9,tenure_current,¿Cuántos años llevas en tu empresa actual?,How many years at your current company?,Numeric,,Redesigned,,,Sec 1.5.2,"Replaces seniority (role tenure) with company tenure"
Professional Profile,Professional Profile,10,seniority_level,¿Cuál es tu nivel dentro de tu organización?,What is your level within your organization?,Single,"Junior / Mid / Senior / Staff-Principal / Lead-Manager / Director+ / Founder-C-Level / No aplica (freelance, estudiante)",Redesigned,,,Sec 1.5.3,"Replaces profile (godin, independiente, etc.); top salary predictor"
